Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Mode_of_Payment,Product_Name,Service,Product_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Customer_Type,Order_Channel,Invoice_Num_Int,actual_billing_amnt
INV-10051,CUST-5335,SRV-776,2023-11-26,Paid,Check,Dining Table,Express Delivery,Home & Garden,9,27.3,545.94,598.92,598.92,0.0,60.66,0.05,25.68,0.0,Regular,Online,10051,598.92
INV-10052,CUST-8438,SRV-172,2025-08-07,Pending,Digital Wallet,Cookbook,Maintenance,Books,10,80.48,562.8,668.89,0.0,668.89,56.28,0.143,25.61,0.0,Corporate,Online,10052,668.89
INV-10053,CUST-1977,SRV-269,2024-07-14,Paid,Credit Card,Bicycle,Standard Shipping,Sports,8,204.32,1702.64,2037.32,2037.32,0.0,212.83,0.12,130.36,0.0,Regular,Mobile App,10053,2037.32
INV-10054,CUST-6280,SRV-718,2024-05-17,Paid,Debit Card,Laptop,Express Delivery,Electronics,10,621.34,11948.9,13357.5,13357.5,0.0,1194.89,0.052,787.26,0.0,Corporate,In-Store,10054,13357.5
INV-10055,CUST-8245,SRV-384,2024-03-07,Paid,Bank Transfer,Car Care Products,Maintenance,Automotive,8,301.51,3108.4,3548.24,3548.24,0.0,388.55,0.097,138.33,0.0,Regular,Phone,10055,3548.24
INV-10056,CUST-5722,SRV-778,2024-10-18,Overdue,Credit Card,Headphones,Standard Shipping,Electronics,6,201.69,3253.08,3670.62,1595.56,2075.06,542.18,0.062,215.85,0.0,Premium,Online,10056,3670.62
INV-10057,CUST-6927,SRV-737,2025-01-26,Paid,Cash,Organic Coffee,Express Delivery,Food & Beverage,5,21.24,148.55,176.67,176.67,0.0,29.71,0.143,6.88,0.0,New,Mobile App,10057,176.67
INV-10058,CUST-3594,SRV-418,2025-03-21,Pending,Check,Smart TV,Warranty,Electronics,2,130.83,976.34,1133.34,0.0,1133.34,488.17,0.134,26.17,0.0,Regular,Online,10058,1133.34
INV-10059,CUST-5479,SRV-525,2025-01-10,Paid,Digital Wallet,Snack Pack,Warranty,Food & Beverage,9,7.15,103.59,116.54,116.54,0.0,11.51,0.069,5.8,0.0,Regular,Mobile App,10059,116.54
INV-10060,CUST-7798,SRV-448,2025-02-04,Paid,PayPal,Running Shoes,Installation,Sports,5,137.42,1272.45,1485.7,1485.7,0.0,254.49,0.108,75.83,0.0,Premium,In-Store,10060,1485.7
INV-10061,CUST-9903,SRV-486,2024-12-13,Pending,Bank Transfer,Lipstick,Consultation,Beauty,4,26.05,356.8,322.32,0.0,322.32,89.2,0.073,23.74,84.27,Corporate,Marketplace,10061,322.32
INV-10062,CUST-3492,SRV-607,2023-10-11,Paid,Bank Transfer,Garden Tool,Support,Home & Garden,6,360.13,2628.66,3110.81,3110.81,0.0,438.11,0.137,122.02,0.0,VIP,Mobile App,10062,3110.81
INV-10063,CUST-3529,SRV-176,2024-12-27,Paid,Check,Tennis Racket,Support,Sports,7,190.84,1413.65,1705.06,1705.06,0.0,201.95,0.135,100.57,0.0,Regular,Mobile App,10063,1705.06
INV-10064,CUST-8994,SRV-993,2025-03-11,Paid,Check,Smart TV,Standard Shipping,Electronics,4,727.47,5123.04,6259.56,6259.56,0.0,1280.76,0.142,409.05,0.0,Regular,Phone,10064,6259.56
INV-10065,CUST-2646,SRV-554,2024-02-21,Paid,Debit Card,Running Shoes,Standard Shipping,Sports,6,115.14,1457.52,1368.17,1368.17,0.0,242.92,0.079,61.93,266.42,Corporate,Online,10065,1368.17
INV-10066,CUST-7267,SRV-734,2025-08-03,Overdue,Cash,Biography,Support,Books,3,8.98,78.75,91.48,0.0,91.48,26.25,0.114,3.75,0.0,Regular,Online,10066,91.48
INV-10067,CUST-8237,SRV-453,2025-04-27,Paid,PayPal,Sports Jersey,Warranty,Sports,5,59.16,739.55,857.85,857.85,0.0,147.91,0.08,59.14,0.0,Regular,In-Store,10067,857.85
INV-10068,CUST-5837,SRV-122,2025-07-09,Pending,PayPal,Tires,Standard Shipping,Automotive,10,448.09,3500.7,4223.3,0.0,4223.3,350.07,0.128,274.51,0.0,Corporate,Mobile App,10068,4223.3
INV-10069,CUST-4770,SRV-721,2024-08-29,Paid,Check,Technical Manual,Express Delivery,Books,10,34.7,275.4,328.29,328.29,0.0,27.54,0.126,18.19,0.0,Regular,In-Store,10069,328.29
INV-10070,CUST-6061,SRV-907,2024-11-28,Paid,Cash,Smart TV,Installation,Electronics,3,54.18,677.28,719.14,719.14,0.0,225.76,0.08,43.92,56.24,New,In-Store,10070,719.14
INV-10071,CUST-5465,SRV-950,2024-02-19,Paid,Digital Wallet,Bicycle,Maintenance,Sports,5,96.2,1145.2,1272.22,1272.22,0.0,229.04,0.084,30.82,0.0,New,Phone,10071,1272.22
INV-10072,CUST-7511,SRV-966,2025-03-27,Pending,Digital Wallet,Face Cream,Maintenance,Beauty,7,7.27,69.86,80.43,0.0,80.43,9.98,0.104,3.3,0.0,Premium,In-Store,10072,80.43
INV-10073,CUST-7086,SRV-210,2025-07-26,Overdue,Bank Transfer,Biography,Standard Shipping,Books,10,76.21,719.0,801.76,0.0,801.76,71.9,0.106,53.86,47.31,Regular,Online,10073,801.76
INV-10074,CUST-1742,SRV-138,2024-07-11,Pending,Bank Transfer,Organic Coffee,Standard Shipping,Food & Beverage,4,11.5,179.72,199.71,0.0,199.71,44.93,0.064,8.49,0.0,Corporate,In-Store,10074,199.71
INV-10075,CUST-3531,SRV-524,2025-07-05,Paid,Digital Wallet,Sweater,Warranty,Clothing,10,131.22,905.0,1056.1,1056.1,0.0,90.5,0.145,19.88,0.0,New,Online,10075,1056.1
INV-10076,CUST-7018,SRV-657,2025-06-25,Pending,Cash,Face Cream,Warranty,Beauty,5,10.83,174.75,197.97,0.0,197.97,34.95,0.062,12.39,0.0,Premium,Marketplace,10076,197.97
INV-10077,CUST-1828,SRV-905,2024-08-10,Overdue,Cash,Textbook,Maintenance,Books,10,32.4,243.6,288.97,111.88,177.09,24.36,0.133,12.97,0.0,Corporate,Online,10077,288.97
INV-10078,CUST-3370,SRV-233,2025-03-10,Paid,Debit Card,Yoga Mat,Standard Shipping,Sports,1,4.89,56.9,65.62,65.62,0.0,56.9,0.086,3.83,0.0,Regular,Phone,10078,65.62
INV-10079,CUST-9619,SRV-216,2023-11-08,Paid,Digital Wallet,Spice Set,Maintenance,Food & Beverage,6,10.28,168.6,187.35,187.35,0.0,28.1,0.061,8.47,0.0,Corporate,Phone,10079,187.35
INV-10080,CUST-5941,SRV-569,2025-06-23,Overdue,Debit Card,Laptop,Warranty,Electronics,7,376.29,6168.61,6931.94,0.0,6931.94,881.23,0.061,387.04,0.0,Regular,Online,10080,6931.94
INV-10081,CUST-9984,SRV-829,2024-08-01,Overdue,Check,Tools,Support,Automotive,5,109.82,989.35,1124.84,0.0,1124.84,197.87,0.111,25.67,0.0,Corporate,Mobile App,10081,1124.84
INV-10082,CUST-8046,SRV-562,2024-04-24,Paid,Check,Tires,Maintenance,Automotive,8,174.69,1420.24,1649.97,1649.97,0.0,177.53,0.123,55.04,0.0,New,Mobile App,10082,1649.97
INV-10083,CUST-2099,SRV-193,2023-11-30,Paid,PayPal,Jacket,Standard Shipping,Clothing,6,105.05,991.08,1150.83,1150.83,0.0,165.18,0.106,54.7,0.0,Regular,Mobile App,10083,1150.83
INV-10084,CUST-7929,SRV-988,2023-10-26,Overdue,Credit Card,Gym Equipment,Installation,Sports,6,29.7,294.06,332.37,0.0,332.37,49.01,0.101,8.61,0.0,Premium,Mobile App,10084,332.37
INV-10085,CUST-4705,SRV-926,2024-11-16,Paid,Debit Card,Smart TV,Consultation,Electronics,5,40.99,532.3,608.29,608.29,0.0,106.46,0.077,35.0,0.0,Regular,In-Store,10085,608.29
INV-10086,CUST-7566,SRV-171,2024-01-27,Pending,Cash,Laptop,Consultation,Electronics,9,388.75,4225.59,4785.28,0.0,4785.28,469.51,0.092,170.94,0.0,Corporate,In-Store,10086,4785.28
INV-10087,CUST-1861,SRV-259,2024-02-12,Paid,PayPal,Camera,Standard Shipping,Electronics,5,420.47,4570.35,5248.7,5248.7,0.0,914.07,0.092,257.88,0.0,Premium,In-Store,10087,5248.7
INV-10088,CUST-5640,SRV-794,2025-07-29,Paid,PayPal,Energy Drink,Consultation,Food & Beverage,5,3.17,35.2,35.93,35.93,0.0,7.04,0.09,1.97,4.41,Regular,Online,10088,35.93
INV-10089,CUST-2965,SRV-107,2025-01-25,Paid,Check,Motor Oil,Express Delivery,Automotive,7,116.03,1589.42,1790.52,1790.52,0.0,227.06,0.073,85.07,0.0,Regular,Online,10089,1790.52
INV-10090,CUST-1307,SRV-570,2023-11-22,Partially Paid,Bank Transfer,Skincare Set,Warranty,Beauty,10,74.59,654.3,753.34,178.92,574.42,65.43,0.114,24.45,0.0,Corporate,Mobile App,10090,753.34
INV-10091,CUST-6928,SRV-190,2024-11-24,Paid,Credit Card,Jeans,Warranty,Clothing,10,51.67,890.8,1006.81,1006.81,0.0,89.08,0.058,64.34,0.0,Corporate,In-Store,10091,1006.81
INV-10092,CUST-2868,SRV-643,2025-02-07,Pending,Debit Card,Cookbook,Installation,Books,3,5.18,79.62,87.33,0.0,87.33,26.54,0.065,2.53,0.0,VIP,Marketplace,10092,87.33
INV-10093,CUST-9095,SRV-575,2025-04-03,Paid,Digital Wallet,Protein Bar,Support,Food & Beverage,10,28.72,195.4,231.73,231.73,0.0,19.54,0.147,7.61,0.0,Premium,Online,10093,231.73
INV-10094,CUST-1920,SRV-460,2025-02-04,Partially Paid,Bank Transfer,Dress,Warranty,Clothing,8,15.28,175.68,197.5,34.02,163.48,21.96,0.087,6.54,0.0,Premium,In-Store,10094,197.5
INV-10095,CUST-1672,SRV-560,2025-04-11,Overdue,Check,Cookbook,Support,Books,8,52.68,360.8,430.45,0.0,430.45,45.1,0.146,16.97,0.0,Regular,Online,10095,430.45
INV-10096,CUST-5059,SRV-824,2024-11-25,Paid,Digital Wallet,Energy Drink,Support,Food & Beverage,10,10.56,121.4,136.45,136.45,0.0,12.14,0.087,4.49,0.0,Premium,In-Store,10096,136.45
INV-10097,CUST-6482,SRV-167,2024-08-06,Overdue,Debit Card,Shoes,Consultation,Clothing,7,57.7,472.99,558.78,0.0,558.78,67.57,0.122,28.09,0.0,Premium,Mobile App,10097,558.78
INV-10098,CUST-6082,SRV-771,2025-08-19,Pending,Check,Motor Oil,Support,Automotive,2,25.44,289.1,334.05,0.0,334.05,144.55,0.088,19.51,0.0,Corporate,Marketplace,10098,334.05
INV-10099,CUST-9624,SRV-195,2025-06-26,Paid,Debit Card,Tools,Installation,Automotive,1,11.16,164.16,180.71,180.71,0.0,164.16,0.068,5.39,0.0,Regular,Online,10099,180.71
INV-10100,CUST-5846,SRV-964,2023-12-16,Pending,Debit Card,Camera,Installation,Electronics,10,268.88,3055.5,3415.23,0.0,3415.23,305.55,0.088,90.85,0.0,Corporate,Phone,10100,3415.23
INV-10101,CUST-1715,SRV-520,2024-09-11,Pending,Debit Card,Biography,Support,Books,5,40.11,313.35,272.82,0.0,272.82,62.67,0.128,10.67,91.31,Corporate,Online,10101,272.82
INV-10102,CUST-8218,SRV-572,2024-06-18,Pending,Cash,Tools,Support,Automotive,7,358.07,2712.64,2950.2,0.0,2950.2,387.52,0.132,184.66,305.17,Corporate,Mobile App,10102,2950.2
INV-10103,CUST-9452,SRV-971,2024-01-09,Partially Paid,PayPal,Running Shoes,Maintenance,Sports,3,40.77,289.14,338.25,93.91,244.34,96.38,0.141,8.34,0.0,Premium,Mobile App,10103,338.25
INV-10104,CUST-7797,SRV-154,2024-10-13,Pending,Debit Card,Lipstick,Warranty,Beauty,2,6.49,122.48,138.26,0.0,138.26,61.24,0.053,9.29,0.0,Corporate,Online,10104,138.26
INV-10105,CUST-8740,SRV-812,2024-01-24,Pending,Digital Wallet,Spice Set,Support,Food & Beverage,1,2.38,45.76,36.61,0.0,36.61,45.76,0.052,1.51,13.04,Premium,Online,10105,36.61
INV-10106,CUST-5934,SRV-224,2023-10-22,Paid,Debit Card,Biography,Consultation,Books,10,25.62,420.0,476.83,476.83,0.0,42.0,0.061,31.21,0.0,Premium,Phone,10106,476.83
INV-10107,CUST-5772,SRV-539,2023-09-05,Partially Paid,Cash,Lipstick,Support,Beauty,7,28.34,242.2,282.99,151.47,131.52,34.6,0.117,12.45,0.0,Corporate,In-Store,10107,282.99
INV-10108,CUST-7397,SRV-994,2024-12-28,Pending,Digital Wallet,Camera,Warranty,Electronics,6,169.92,3267.72,3657.59,0.0,3657.59,544.62,0.052,219.95,0.0,Premium,In-Store,10108,3657.59
INV-10109,CUST-6447,SRV-236,2023-10-19,Paid,Check,Skincare Set,Installation,Beauty,3,44.57,377.73,452.08,452.08,0.0,125.91,0.118,29.78,0.0,Regular,Mobile App,10109,452.08
INV-10110,CUST-8498,SRV-137,2024-06-30,Overdue,Check,Fiction Novel,Maintenance,Books,4,23.62,288.04,322.78,0.0,322.78,72.01,0.082,11.12,0.0,Regular,Online,10110,322.78
INV-10111,CUST-6848,SRV-982,2023-10-22,Paid,Check,Shampoo,Standard Shipping,Beauty,6,37.83,420.3,477.63,477.63,0.0,70.05,0.09,19.5,0.0,Regular,In-Store,10111,477.63
INV-10112,CUST-9507,SRV-373,2023-11-27,Paid,Check,Car Parts,Warranty,Automotive,10,270.77,3981.9,3876.96,3876.96,0.0,398.19,0.068,149.82,525.53,Premium,In-Store,10112,3876.96
INV-10113,CUST-8272,SRV-459,2024-12-04,Paid,Bank Transfer,Camera,Maintenance,Electronics,6,696.92,7493.76,8628.08,8628.08,0.0,1248.96,0.093,437.4,0.0,VIP,Online,10113,8628.08
INV-10114,CUST-3621,SRV-131,2024-01-28,Paid,Bank Transfer,Organic Coffee,Express Delivery,Food & Beverage,2,3.59,31.24,36.13,36.13,0.0,15.62,0.115,1.3,0.0,Regular,Mobile App,10114,36.13
INV-10115,CUST-7095,SRV-554,2023-11-21,Paid,Credit Card,Garden Tool,Installation,Home & Garden,7,95.18,1220.31,1292.45,1292.45,0.0,174.33,0.078,94.73,117.77,Corporate,Online,10115,1292.45
INV-10116,CUST-5264,SRV-820,2024-12-03,Cancelled,Digital Wallet,Self-Help Book,Installation,Books,8,12.29,192.08,165.21,0.0,165.21,24.01,0.064,4.7,43.86,Corporate,Marketplace,10116,165.21
INV-10117,CUST-6692,SRV-826,2023-11-09,Paid,Debit Card,Tennis Racket,Maintenance,Sports,3,94.08,657.93,790.34,790.34,0.0,219.31,0.143,38.33,0.0,Regular,Mobile App,10117,790.34
INV-10118,CUST-4878,SRV-909,2025-01-21,Paid,Check,Tablet,Support,Electronics,10,1000.19,7693.8,9102.52,9102.52,0.0,769.38,0.13,408.53,0.0,Regular,Phone,10118,9102.52
INV-10119,CUST-9612,SRV-520,2024-10-27,Pending,Debit Card,Jeans,Installation,Clothing,2,23.19,196.5,227.68,0.0,227.68,98.25,0.118,7.99,0.0,Premium,Mobile App,10119,227.68
INV-10120,CUST-3114,SRV-543,2025-01-30,Paid,PayPal,Gaming Console,Standard Shipping,Electronics,9,206.94,3135.42,3465.77,3465.77,0.0,348.38,0.066,123.41,0.0,Corporate,Mobile App,10120,3465.77
INV-10121,CUST-5105,SRV-301,2025-06-15,Paid,Cash,Yoga Mat,Consultation,Sports,5,56.65,960.2,1072.98,1072.98,0.0,192.04,0.059,56.13,0.0,Regular,Phone,10121,1072.98
INV-10122,CUST-6531,SRV-962,2025-04-03,Paid,Cash,Gaming Console,Maintenance,Electronics,1,30.22,208.38,252.41,252.41,0.0,208.38,0.145,13.81,0.0,Premium,In-Store,10122,252.41
INV-10123,CUST-9159,SRV-742,2025-03-15,Pending,Bank Transfer,Sports Jersey,Installation,Sports,8,92.82,708.56,832.82,0.0,832.82,88.57,0.131,31.44,0.0,Regular,In-Store,10123,832.82
INV-10124,CUST-4342,SRV-448,2025-05-17,Paid,Bank Transfer,Lamp,Maintenance,Home & Garden,6,304.97,2242.44,2403.64,2403.64,0.0,373.74,0.136,176.08,319.85,Regular,Online,10124,2403.64
INV-10125,CUST-8366,SRV-353,2024-01-26,Overdue,Debit Card,T-Shirt,Installation,Clothing,7,112.62,1224.09,1431.9,0.0,1431.9,174.87,0.092,95.19,0.0,VIP,Mobile App,10125,1431.9
