Invoice number,Customer id,Service id,Agent id,Billing date,Payment status,Transaction type,Mode of payment,Plan name,Plan category,Plan Charge,Tax amount,Actual amount,Billed amount,Paid amount,Balance amount,Plan start date,Plan end date,Zone area,Data buyed,Data used,Billing cycle,No of valid days,Leakage,Anomaly type,Type
INV10020,CUST8655,SERV751,AGENT54,2022-03-22,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-03-22,2022-05-21,North,100,27.924804881730058,60,60,No,No Anomaly,No Anomaly
INV17651,CUST8275,SERV787,AGENT38,2023-11-16,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-11-16,2024-01-15,South,50,,60,60,Yes,Duplicate entries,Duplicate entries
INV10022,CUST1801,SERV172,AGENT25,2023-03-30,Paid,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-03-30,2023-04-29,West,100,107.61135689826736,30,30,Yes,Extra data usage,Extra data usage
INV10023,CUST2334,SERV594,AGENT46,2022-01-08,Pending,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,451.4927491722843,20.507250827715723,2022-01-08,2022-03-09,West,10,,60,60,Yes,Under payment,Under payment
INV10024,CUST4910,SERV173,AGENT88,2022-08-29,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-08-29,2022-11-27,East,10,1.799216638534672,90,90,No,No Anomaly,No Anomaly
INV10025,CUST9058,SERV123,AGENT18,2024-06-07,Failed,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2024-06-07,2024-08-06,East,10,4.464987451358886,60,60,No,No Anomaly,No Anomaly
INV10026,CUST9150,SERV508,AGENT54,2024-12-16,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-12-16,2025-03-16,East,20,10.333355150641385,90,90,No,No Anomaly,No Anomaly
INV10027,CUST3571,SERV771,AGENT33,2023-10-01,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,455.9232287250413,16.076771274958674,2023-10-01,2023-11-30,West,20,,60,60,Yes,Under payment,Under payment
INV10028,CUST8483,SERV711,AGENT81,2024-01-10,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,197.41424202339837,197.41424202339837,0.0,2024-01-10,2024-02-09,West,100,,30,30,Yes,Missing charges,Missing charges
INV10029,CUST6072,SERV492,AGENT62,2024-03-26,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-03-26,2024-06-24,East,10,5.58255617781265,90,90,No,No Anomaly,No Anomaly
INV10030,CUST2775,SERV273,AGENT28,2023-04-08,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,482.067555128681,-10.067555128681022,2023-04-08,2023-05-08,East,200,,30,30,Yes,Excess payment,Excess payment
INV10031,CUST3780,SERV497,AGENT16,2023-05-11,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-05-11,2023-06-10,East,20,2.485927182789407,30,30,No,No Anomaly,No Anomaly
INV10032,CUST6380,SERV704,AGENT78,2023-11-10,Pending,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,218.3290613367412,17.670938663258795,2023-11-10,2024-02-08,East,200,,90,90,Yes,Under payment,Under payment
INV10033,CUST8102,SERV776,AGENT68,2024-04-23,Pending,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-04-23,2024-07-22,South,20,1.6184207107683357,90,90,No,No Anomaly,No Anomaly
INV10034,CUST1927,SERV249,AGENT27,2022-08-18,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-08-18,2022-11-16,North,200,157.89031586911827,90,90,No,No Anomaly,No Anomaly
INV10035,CUST3671,SERV283,AGENT60,2023-02-16,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-02-16,2023-05-17,West,50,27.301923651582644,90,90,No,No Anomaly,No Anomaly
INV10036,CUST6953,SERV925,AGENT39,2022-03-30,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-03-30,2022-06-28,West,200,84.74422390464662,90,90,No,No Anomaly,No Anomaly
INV10037,CUST8250,SERV879,AGENT60,2023-05-19,Failed,Refund,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-05-19,2023-08-17,South,100,32.579229449754756,90,90,No,No Anomaly,No Anomaly
INV10038,CUST6855,SERV546,AGENT18,2024-09-11,Pending,Sale,UPI,Premium,Prepaid,600,108.0,708.0,673.8846516456707,0.0,673.8846516456707,2024-09-11,2024-12-10,East,20,,90,90,Yes,Missing charges,Missing charges
INV10039,CUST9640,SERV136,AGENT81,2024-01-21,Paid,Refund,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-01-21,2024-03-21,South,200,164.1418687878744,60,60,No,No Anomaly,No Anomaly
INV10040,CUST1874,SERV764,AGENT40,2022-02-25,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,425.9642495963435,425.9642495963435,0.0,2022-02-25,2022-03-27,East,200,,30,30,Yes,Missing charges,Missing charges
INV10041,CUST2690,SERV201,AGENT12,2022-08-20,Pending,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,205.79630379245893,30.20369620754107,2022-08-20,2022-10-19,North,20,,60,60,Yes,Under payment,Under payment
INV10042,CUST1856,SERV136,AGENT18,2024-10-15,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,422.8064367718529,422.8064367718529,0.0,2024-10-15,2025-01-13,West,10,,90,90,Yes,Missing charges,Missing charges
INV10043,CUST8432,SERV573,AGENT34,2024-08-09,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-08-09,2024-11-07,East,200,,90,93,Yes,Usage mismatch,Usage mismatch
INV10044,CUST6939,SERV993,AGENT93,2023-10-03,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-10-03,2023-11-02,South,100,62.43676464301634,30,30,No,No Anomaly,No Anomaly
INV10045,CUST7789,SERV127,AGENT13,2024-04-20,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-04-20,2024-06-19,East,10,4.989927278420907,60,60,No,No Anomaly,No Anomaly
INV10046,CUST3132,SERV454,AGENT53,2024-12-01,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,493.7850040017999,-21.785004001799905,2024-12-01,2024-12-31,East,200,,30,30,Yes,Excess payment,Excess payment
INV10047,CUST8882,SERV286,AGENT41,2023-04-05,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-04-05,2023-06-04,West,10,3.2516995782761073,60,60,No,No Anomaly,No Anomaly
INV10048,CUST8004,SERV499,AGENT92,2022-05-17,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-05-17,2022-08-15,East,20,6.1650431790236055,90,90,No,No Anomaly,No Anomaly
INV10049,CUST9804,SERV542,AGENT28,2022-08-31,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-08-31,2022-10-30,West,100,8.040642508180918,60,60,No,No Anomaly,No Anomaly
INV10050,CUST1891,SERV392,AGENT66,2024-06-27,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-06-27,2024-07-27,West,50,46.19278762614278,30,30,No,No Anomaly,No Anomaly
INV10051,CUST6488,SERV214,AGENT63,2023-05-13,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-05-13,2023-07-12,East,100,60.0974941504517,60,60,No,No Anomaly,No Anomaly
INV10052,CUST7395,SERV863,AGENT87,2023-08-15,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-08-15,2023-10-14,South,20,1.472397971010957,60,60,No,No Anomaly,No Anomaly
INV10053,CUST5052,SERV872,AGENT34,2023-02-20,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-02-20,2023-05-21,East,50,23.399087229473466,90,90,No,No Anomaly,No Anomaly
INV15376,CUST8411,SERV463,AGENT98,2024-05-03,Failed,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-05-03,2024-08-01,West,20,,90,90,Yes,Duplicate entries,Duplicate entries
INV10055,CUST3959,SERV982,AGENT48,2022-03-01,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-03-01,2022-03-31,South,100,29.604581700303033,30,30,No,No Anomaly,No Anomaly
INV10056,CUST5149,SERV777,AGENT62,2023-12-08,Pending,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-12-08,2024-03-07,North,50,6.244230462457518,90,90,No,No Anomaly,No Anomaly
INV10057,CUST9822,SERV291,AGENT44,2023-10-14,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-10-14,2024-01-12,West,10,9.542297861296873,90,90,No,No Anomaly,No Anomaly
INV10058,CUST5720,SERV681,AGENT94,2022-01-08,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-01-08,2022-03-09,East,200,48.406946645752626,60,60,No,No Anomaly,No Anomaly
INV10059,CUST4739,SERV947,AGENT88,2023-02-20,Failed,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-02-20,2023-05-21,North,100,29.238183531733842,90,90,No,No Anomaly,No Anomaly
INV10060,CUST3501,SERV884,AGENT19,2023-05-04,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-05-04,2023-07-03,West,200,77.21584335422497,60,60,No,No Anomaly,No Anomaly
INV10061,CUST2888,SERV555,AGENT59,2024-09-11,Failed,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2024-09-11,2024-11-10,West,20,13.947535747463249,60,60,No,No Anomaly,No Anomaly
INV10062,CUST9279,SERV224,AGENT98,2023-04-16,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-04-16,2023-06-15,East,20,6.833863728098648,60,60,No,No Anomaly,No Anomaly
INV10063,CUST7507,SERV125,AGENT43,2023-10-05,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2023-10-05,2024-01-03,South,10,8.219169570283322,90,90,No,No Anomaly,No Anomaly
INV10064,CUST4292,SERV626,AGENT10,2023-06-05,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,919.2114793164507,919.2114793164507,0.0,2023-06-05,2023-08-04,West,20,,60,60,Yes,Missing charges,Missing charges
INV10065,CUST4292,SERV689,AGENT88,2022-04-16,Failed,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-04-16,2022-06-15,South,10,0.7461269665822823,60,60,No,No Anomaly,No Anomaly
INV10066,CUST4407,SERV380,AGENT32,2024-06-27,Pending,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,920.9406129234767,23.059387076523308,2024-06-27,2024-07-27,East,50,,30,30,Yes,Under payment,Under payment
INV10067,CUST5003,SERV868,AGENT26,2022-10-11,Paid,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-10-11,2022-12-10,West,20,7.273448516852675,60,60,No,No Anomaly,No Anomaly
INV10068,CUST7803,SERV594,AGENT91,2024-12-07,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-12-07,2025-03-07,North,100,91.98478641957823,90,90,No,No Anomaly,No Anomaly
INV10069,CUST3130,SERV229,AGENT13,2022-11-06,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,932.7325137095565,932.7325137095565,0.0,2022-11-06,2023-01-05,South,20,,60,60,Yes,Missing charges,Missing charges
INV10070,CUST6493,SERV119,AGENT82,2022-09-07,Pending,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-09-07,2022-12-06,West,200,59.9424275746087,90,90,No,No Anomaly,No Anomaly
INV10071,CUST7805,SERV723,AGENT39,2023-04-14,Failed,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2023-04-14,2023-06-13,South,10,0.7530383136825369,60,60,No,No Anomaly,No Anomaly
INV10072,CUST5050,SERV501,AGENT35,2023-10-11,Failed,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-10-11,2023-11-10,North,20,13.516126944299785,30,30,No,No Anomaly,No Anomaly
INV10073,CUST6087,SERV945,AGENT54,2023-03-01,Pending,Sale,UPI,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-03-01,2023-03-31,East,10,6.698088886915414,30,30,No,No Anomaly,No Anomaly
INV10074,CUST1542,SERV193,AGENT79,2023-04-08,Paid,Refund,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,965.2482685581563,-21.24826855815627,2023-04-08,2023-07-07,North,10,,90,90,Yes,Excess payment,Excess payment
INV10075,CUST8769,SERV336,AGENT51,2023-09-18,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2023-09-18,2023-12-17,North,20,8.827372555302876,90,90,No,No Anomaly,No Anomaly
INV10076,CUST2989,SERV896,AGENT14,2022-04-04,Pending,Sale,Credit Card,Standard,Postpaid,400,72.0,472.0,472.0,0.0,472.0,2022-04-04,2022-07-03,South,20,9.324067752468679,90,90,No,No Anomaly,No Anomaly
INV10077,CUST3812,SERV372,AGENT67,2024-02-02,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,931.5867034720007,931.5867034720007,0.0,2024-02-02,2024-05-02,North,100,,90,90,Yes,Missing charges,Missing charges
INV10078,CUST3470,SERV792,AGENT52,2024-12-12,Pending,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2024-12-12,2025-01-11,South,200,32.04867707169552,30,30,No,No Anomaly,No Anomaly
INV10079,CUST5356,SERV400,AGENT92,2024-06-12,Pending,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-06-12,2024-09-10,South,50,45.220483588025076,90,90,No,No Anomaly,No Anomaly
INV10080,CUST6578,SERV872,AGENT75,2024-01-18,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-01-18,2024-03-18,South,100,60.55382204254934,60,60,No,No Anomaly,No Anomaly
INV10081,CUST5679,SERV782,AGENT71,2024-02-25,Paid,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2024-02-25,2024-05-25,West,50,23.871992936313667,90,90,No,No Anomaly,No Anomaly
INV10082,CUST5408,SERV961,AGENT13,2023-12-31,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,517.9750503711523,-45.97505037115229,2023-12-31,2024-02-29,South,100,,60,60,Yes,Excess payment,Excess payment
INV10083,CUST7287,SERV161,AGENT85,2023-07-05,Pending,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2023-07-05,2023-10-03,South,100,74.87862615897482,90,90,No,No Anomaly,No Anomaly
INV10084,CUST1337,SERV470,AGENT47,2022-12-23,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-12-23,2023-01-22,West,100,11.018390687982226,30,30,No,No Anomaly,No Anomaly
INV10085,CUST7560,SERV906,AGENT78,2022-02-01,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-02-01,2022-05-02,South,10,8.25063987747838,90,90,No,No Anomaly,No Anomaly
INV10086,CUST5082,SERV564,AGENT58,2023-04-03,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2023-04-03,2023-05-03,South,10,,30,34,Yes,Usage mismatch,Usage mismatch
INV10087,CUST8829,SERV836,AGENT57,2022-12-11,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,190.9090721158551,190.9090721158551,0.0,2022-12-11,2023-01-10,West,10,,30,30,Yes,Missing charges,Missing charges
INV10088,CUST6939,SERV449,AGENT41,2022-04-13,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-04-13,2022-07-12,North,10,3.0819772470099505,90,90,No,No Anomaly,No Anomaly
INV10089,CUST4193,SERV319,AGENT93,2024-01-17,Pending,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,0.0,708.0,2024-01-17,2024-02-16,West,20,9.390775832117349,30,30,No,No Anomaly,No Anomaly
INV10090,CUST9549,SERV276,AGENT50,2024-12-11,Pending,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-12-11,2025-01-10,South,100,83.3645358420898,30,30,No,No Anomaly,No Anomaly
INV10091,CUST8853,SERV695,AGENT19,2023-06-30,Paid,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,496.28715446026763,-24.28715446026763,2023-06-30,2023-08-29,East,200,,60,60,Yes,Excess payment,Excess payment
INV10092,CUST8146,SERV452,AGENT85,2022-07-27,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,282.11723330254,-46.11723330254,2022-07-27,2022-08-26,North,100,,30,30,Yes,Excess payment,Excess payment
INV10093,CUST4476,SERV706,AGENT10,2022-10-02,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2022-10-02,2022-12-31,East,100,38.77470804683727,90,90,No,No Anomaly,No Anomaly
INV10094,CUST7557,SERV667,AGENT63,2024-07-28,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-07-28,2024-09-26,West,200,174.46025907284053,60,60,No,No Anomaly,No Anomaly
INV10095,CUST5899,SERV270,AGENT66,2022-01-25,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,222.20872950772818,222.20872950772818,0.0,2022-01-25,2022-02-24,South,10,,30,30,Yes,Missing charges,Missing charges
INV10096,CUST1357,SERV878,AGENT11,2024-07-08,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-07-08,2024-10-06,West,10,11.534975185025093,90,90,Yes,Extra data usage,Extra data usage
INV10097,CUST7843,SERV746,AGENT42,2022-09-28,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,265.26696926475205,-29.26696926475205,2022-09-28,2022-12-27,North,100,,90,90,Yes,Excess payment,Excess payment
INV10098,CUST3352,SERV497,AGENT91,2023-02-15,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,451.3962860837308,20.603713916269214,2023-02-15,2023-05-16,West,100,,90,90,Yes,Under payment,Under payment
INV10099,CUST5463,SERV177,AGENT77,2023-03-04,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-03-04,2023-05-03,North,50,13.593358407563821,60,60,No,No Anomaly,No Anomaly
INV10100,CUST1691,SERV376,AGENT49,2022-10-02,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,958.5414163468266,-14.541416346826622,2022-10-02,2022-12-31,North,200,,90,90,Yes,Excess payment,Excess payment
INV10101,CUST3745,SERV969,AGENT60,2023-11-14,Pending,Sale,UPI,Standard,Postpaid,400,72.0,472.0,444.6260517186438,0.0,444.6260517186438,2023-11-14,2024-02-12,West,100,,90,90,Yes,Missing charges,Missing charges
INV10102,CUST9273,SERV781,AGENT46,2022-10-15,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-10-15,2023-01-13,North,200,154.67937436323328,90,90,No,No Anomaly,No Anomaly
INV10103,CUST1023,SERV309,AGENT79,2024-07-10,Paid,Sale,Credit Card,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-07-10,2024-08-09,South,20,2.409445158644443,30,30,No,No Anomaly,No Anomaly
INV10104,CUST8015,SERV176,AGENT10,2024-02-02,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-02-02,2024-05-02,South,200,9.812173250405532,90,90,No,No Anomaly,No Anomaly
INV10105,CUST8369,SERV453,AGENT66,2024-05-26,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,722.138290786473,-14.138290786473021,2024-05-26,2024-06-25,East,20,,30,30,Yes,Excess payment,Excess payment
INV10106,CUST5560,SERV807,AGENT62,2024-06-14,Paid,Sale,Credit Card,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-06-14,2024-07-14,South,50,11.557174660705465,30,30,No,No Anomaly,No Anomaly
INV10107,CUST4195,SERV769,AGENT18,2022-07-16,Paid,Refund,Net Banking,Standard,Postpaid,400,72.0,472.0,472.0,472.0,0.0,2022-07-16,2022-10-14,North,200,51.716829019535716,90,90,No,No Anomaly,No Anomaly
INV10108,CUST7469,SERV517,AGENT69,2022-03-14,Pending,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,659.7308243227329,48.26917567726707,2022-03-14,2022-04-13,North,20,,30,30,Yes,Under payment,Under payment
INV10109,CUST6576,SERV810,AGENT22,2023-02-01,Paid,Sale,Net Banking,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2023-02-01,2023-03-03,West,20,6.751382572458251,30,30,No,No Anomaly,No Anomaly
INV18440,CUST1705,SERV154,AGENT49,2024-09-19,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-09-19,2024-11-18,West,20,,60,60,Yes,Duplicate entries,Duplicate entries
INV10111,CUST1110,SERV149,AGENT65,2022-06-06,Paid,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,991.6374089265861,-47.63740892658609,2022-06-06,2022-07-06,East,50,,30,30,Yes,Excess payment,Excess payment
INV16477,CUST3926,SERV805,AGENT95,2022-12-13,Failed,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,0.0,236.0,2022-12-13,2023-01-12,West,200,,30,30,Yes,Duplicate entries,Duplicate entries
INV10113,CUST9360,SERV712,AGENT58,2023-12-22,Pending,Sale,Net Banking,Standard,Postpaid,400,72.0,472.0,429.2901793166938,0.0,429.2901793166938,2023-12-22,2024-02-20,West,100,,60,60,Yes,Missing charges,Missing charges
