Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,No_of_valid_days,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,Revenue_Leakage_Pred,Anomaly_Type_Pred
INV106959,CUST005257,SVC8335,AGT067,Paid,Recharge,Net Banking,Youth Special,Prepaid,599,107.82,706.82,706.82,949.39,-242.57,Metro-B,10,6.3,30,30,2024,10,15,2024,10,13,2024,11,12,Yes,No Anomaly
INV103196,CUST005878,SVC8725,AGT014,Paid,New Connection,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-West,500,384.71,30,30,2023,12,26,2023,12,25,2024,1,24,Yes,No Anomaly
INV109116,CUST005756,SVC4260,AGT122,Paid,New Connection,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Metro-A,1000,1808.11,31,31,2024,4,9,2024,4,6,2024,5,7,Yes,Billing Error
INV104235,CUST001457,SVC6344,AGT071,Paid,Renewal,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Rural-Zone,750,440.92,30,30,2023,12,19,2023,12,17,2024,1,16,Yes,No Anomaly
INV102135,CUST007547,SVC1154,AGT031,Pending,New Connection,Debit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-South,1000,823.97,31,31,2024,12,11,2024,12,7,2025,1,7,Yes,No Anomaly
INV107707,CUST005310,SVC9636,AGT047,Partial,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,1457.78,2081.04,Circle-East,100,11.73,28,28,2024,6,25,2024,6,24,2024,7,22,Yes,Billing Error
INV102926,CUST002351,SVC1638,AGT096,Paid,Recharge,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,85.18,30,30,2023,10,28,2023,10,26,2023,11,25,Yes,No Anomaly
INV103387,CUST006824,SVC4044,AGT145,Paid,Bill Payment,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-South,200,173.36,31,31,2024,2,16,2024,2,13,2024,3,15,Yes,No Anomaly
INV106680,CUST000068,SVC1039,AGT056,Paid,Bill Payment,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,8654.66,8654.66,0.0,Rural-Zone,200,107.78,28,28,2024,10,3,2024,10,2,2024,10,30,Yes,No Anomaly
INV103807,CUST004514,SVC6336,AGT031,Pending,Plan Change,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Rural-Zone,150,79.69,30,30,2024,7,9,2024,7,6,2024,8,5,Yes,No Anomaly
INV102542,CUST000549,SVC6697,AGT109,Pending,Renewal,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-West,30,18.34,30,30,2025,5,18,2025,5,15,2025,6,14,Yes,No Anomaly
INV109324,CUST001266,SVC3421,AGT066,Paid,Plan Change,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Rural-Zone,150,303.32,28,28,2024,4,9,2024,4,4,2024,5,2,Yes,No Anomaly
INV103811,CUST007143,SVC3781,AGT069,Pending,Bill Payment,Net Banking,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-West,150,15.78,28,28,2025,5,22,2025,5,18,2025,6,15,Yes,No Anomaly
INV106000,CUST004507,SVC4393,AGT103,Paid,Plan Change,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-West,30,15.42,28,28,2025,2,7,2025,2,3,2025,3,3,Yes,No Anomaly
INV104253,CUST006670,SVC2138,AGT146,Pending,Plan Change,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-South,40,20.34,30,30,2024,9,24,2024,9,22,2024,10,22,Yes,Rate Error
INV102937,CUST004225,SVC2698,AGT029,Paid,Bill Payment,Cash,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Metro-A,5,3.59,28,28,2024,8,8,2024,8,7,2024,9,4,Yes,Billing Error
INV106349,CUST007087,SVC6129,AGT015,Paid,Plan Change,Credit Card,Youth Special,Prepaid,599,107.82,706.82,468.95,468.95,0.0,Circle-North,10,6.55,30,30,2024,4,21,2024,4,20,2024,5,20,Yes,Rate Error
INV104906,CUST003269,SVC3842,AGT076,Pending,Bill Payment,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-North,750,3.0,28,28,2025,7,17,2025,7,16,2025,8,13,Yes,No Anomaly
INV107116,CUST000526,SVC1254,AGT130,Paid,Plan Change,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1779.41,-246.59,Rural-Zone,40,8.85,28,28,2024,6,10,2024,6,6,2024,7,4,Yes,No Anomaly
INV106928,CUST001552,SVC9819,AGT074,Paid,Bill Payment,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,5262.59,-543.77,Metro-B,150,21.28,28,28,2025,8,5,2025,8,2,2025,8,30,Yes,No Anomaly
INV103749,CUST002840,SVC1738,AGT032,Pending,Renewal,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Circle-South,75,42.69,31,31,2025,1,8,2025,1,4,2025,2,4,Yes,No Anomaly
INV103498,CUST004969,SVC9798,AGT022,Paid,Bill Payment,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Metro-B,10,7.5,31,31,2025,4,14,2025,4,13,2025,5,14,Yes,Billing Error
INV107189,CUST002775,SVC2244,AGT116,Paid,Renewal,Debit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,3393.31,-1034.49,Rural-Zone,50,15.86,28,28,2024,2,29,2024,2,24,2024,3,23,Yes,No Anomaly
INV103322,CUST006411,SVC1879,AGT148,Pending,Renewal,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Rural-Zone,750,423.68,28,28,2024,3,3,2024,3,2,2024,3,30,Yes,No Anomaly
INV109025,CUST007999,SVC3894,AGT022,Paid,Plan Change,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Metro-A,50,81.81,31,31,2025,2,1,2025,1,30,2025,3,2,Yes,Rate Error
INV106000,CUST005614,SVC3680,AGT055,Paid,New Connection,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Metro-B,5,4.01,30,30,2023,11,29,2023,11,28,2023,12,28,Yes,No Anomaly
INV106689,CUST005599,SVC1703,AGT011,Paid,Recharge,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,952.05,952.05,0.0,Circle-North,15,7.87,31,31,2025,2,8,2025,2,4,2025,3,7,Yes,No Anomaly
INV102895,CUST002037,SVC3163,AGT084,Pending,New Connection,Auto Debit,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Metro-A,5,0.23,28,28,2023,9,10,2023,9,9,2023,10,7,Yes,No Anomaly
INV104331,CUST003691,SVC4744,AGT106,Paid,Bill Payment,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Metro-A,500,400.8,28,28,2024,12,23,2024,12,19,2025,1,16,Yes,No Anomaly
INV108357,CUST003138,SVC9777,AGT093,Paid,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-North,500,45.52,30,39,2023,10,9,2023,10,8,2023,11,7,Yes,No Anomaly
INV104926,CUST006499,SVC4881,AGT098,Pending,Recharge,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Metro-B,150,107.21,31,31,2024,2,11,2024,2,10,2024,3,12,Yes,No Anomaly
INV105508,CUST005822,SVC7889,AGT074,Paid,Renewal,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Metro-A,15,9.19,28,28,2025,3,6,2025,3,3,2025,3,31,Yes,No Anomaly
INV106000,CUST003330,SVC9313,AGT091,Paid,Plan Change,Credit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0.0,Circle-East,75,53.01,28,28,2024,3,26,2024,3,21,2024,4,18,Yes,No Anomaly
INV108823,CUST007559,SVC9459,AGT049,Paid,Renewal,Debit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Circle-North,500,1218.1,31,31,2024,3,31,2024,3,26,2024,4,26,Yes,No Anomaly
INV104217,CUST006134,SVC7625,AGT127,Pending,New Connection,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-East,30,21.82,28,28,2024,10,3,2024,10,1,2024,10,29,Yes,No Anomaly
INV108307,CUST002742,SVC1475,AGT093,Paid,Plan Change,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-North,50,25.48,30,38,2024,6,25,2024,6,24,2024,7,24,Yes,No Anomaly
INV104485,CUST005459,SVC9116,AGT001,Paid,Renewal,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Metro-A,100,65.12,31,31,2025,3,20,2025,3,19,2025,4,19,Yes,Billing Error
INV104127,CUST006808,SVC2717,AGT064,Pending,Recharge,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-East,750,147.63,30,30,2025,4,19,2025,4,14,2025,5,14,Yes,No Anomaly
INV103029,CUST003691,SVC3553,AGT068,Paid,Bill Payment,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,8.12,31,31,2024,6,13,2024,6,10,2024,7,11,Yes,No Anomaly
INV104030,CUST001358,SVC6180,AGT027,Pending,Renewal,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-West,200,94.2,28,28,2024,2,26,2024,2,21,2024,3,20,Yes,Billing Error
INV104649,CUST004062,SVC1896,AGT040,Pending,Plan Change,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-South,40,7.64,30,30,2024,11,29,2024,11,24,2024,12,24,Yes,Usage Mismatch
INV102157,CUST001870,SVC9684,AGT005,Pending,Plan Change,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-North,200,60.43,30,30,2024,10,27,2024,10,26,2024,11,25,Yes,No Anomaly
INV105589,CUST004432,SVC2530,AGT138,Pending,Plan Change,Debit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Metro-B,50,19.03,30,30,2024,1,27,2024,1,23,2024,2,22,Yes,Usage Mismatch
INV109227,CUST005274,SVC3543,AGT110,Paid,Renewal,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-North,150,190.81,28,28,2025,6,24,2025,6,19,2025,7,17,Yes,Usage Mismatch
INV109035,CUST006181,SVC5731,AGT109,Paid,Bill Payment,Cash,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-North,10,17.09,30,30,2024,11,19,2024,11,14,2024,12,14,Yes,No Anomaly
INV101161,CUST006226,SVC2921,AGT062,Pending,Bill Payment,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Circle-South,750,215.57,28,28,2025,3,26,2025,3,22,2025,4,19,Yes,No Anomaly
INV108487,CUST001955,SVC9556,AGT076,Paid,Recharge,Debit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Circle-South,40,13.26,31,42,2025,6,17,2025,6,13,2025,7,14,Yes,No Anomaly
INV103298,CUST004972,SVC1212,AGT126,Paid,Recharge,Credit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-North,150,28.57,28,28,2024,6,16,2024,6,14,2024,7,12,Yes,No Anomaly
INV101675,CUST004567,SVC8014,AGT107,Paid,New Connection,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Rural-Zone,1000,888.42,28,28,2024,4,13,2024,4,11,2024,5,9,Yes,No Anomaly
INV103680,CUST000658,SVC5037,AGT139,Pending,Bill Payment,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-East,40,20.63,30,30,2024,12,5,2024,12,2,2025,1,1,Yes,No Anomaly
INV107712,CUST003673,SVC7571,AGT074,Partial,New Connection,Credit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,154.46,316.36,Metro-B,5,4.03,30,30,2025,5,4,2025,5,3,2025,6,2,Yes,Billing Error
INV109266,CUST003632,SVC9380,AGT096,Paid,Renewal,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,126.12,31,31,2024,4,7,2024,4,2,2024,5,3,Yes,No Anomaly
INV105083,CUST003123,SVC5215,AGT035,Pending,Bill Payment,UPI,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0.0,2948.82,Circle-East,75,7.99,30,30,2024,2,10,2024,2,8,2024,3,9,Yes,Billing Error
INV108166,CUST004497,SVC7922,AGT142,Partial,Recharge,Credit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,1327.44,2211.38,Circle-North,100,68.33,30,30,2025,1,21,2025,1,16,2025,2,15,Yes,No Anomaly
INV100170,CUST001058,SVC8088,AGT129,Paid,New Connection,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Metro-A,1000,729.39,30,30,2023,9,6,2023,9,1,2023,10,1,Yes,Billing Error
INV102570,CUST000726,SVC4972,AGT107,Pending,Recharge,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-East,30,11.89,31,31,2024,7,18,2024,7,16,2024,8,16,Yes,No Anomaly
INV107672,CUST007392,SVC6414,AGT087,Partial,Renewal,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,3967.33,5471.49,Circle-North,500,135.48,31,31,2025,5,4,2025,4,29,2025,5,30,Yes,No Anomaly
INV103625,CUST001353,SVC8232,AGT102,Pending,Bill Payment,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Circle-North,200,119.56,31,31,2025,7,20,2025,7,19,2025,8,19,Yes,No Anomaly
INV105238,CUST003234,SVC7143,AGT097,Pending,Recharge,Auto Debit,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0.0,3538.82,Metro-A,100,5.0,31,31,2024,9,4,2024,9,2,2024,10,3,Yes,Usage Mismatch
INV109285,CUST005865,SVC8772,AGT143,Paid,Recharge,Wallet,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-North,1000,1954.98,30,30,2023,9,24,2023,9,22,2023,10,22,Yes,No Anomaly
INV103973,CUST003447,SVC1322,AGT041,Pending,New Connection,Debit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0.0,1532.82,Circle-South,40,30.98,31,31,2024,11,30,2024,11,28,2024,12,29,Yes,No Anomaly
INV106000,CUST000687,SVC1753,AGT114,Paid,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0.0,Circle-West,150,29.64,30,30,2025,1,11,2025,1,9,2025,2,8,Yes,No Anomaly
INV105557,CUST004803,SVC5907,AGT009,Paid,Recharge,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-North,30,9.81,28,28,2025,6,19,2025,6,18,2025,7,16,Yes,Usage Mismatch
INV106000,CUST004895,SVC6088,AGT133,Paid,New Connection,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Circle-West,750,130.37,28,28,2024,10,23,2024,10,18,2024,11,15,Yes,No Anomaly
INV106633,CUST002821,SVC2376,AGT123,Paid,Plan Change,Net Banking,Youth Special,Prepaid,599,107.82,706.82,448.98,448.98,0.0,Circle-North,10,1.22,31,31,2025,2,13,2025,2,9,2025,3,12,Yes,No Anomaly
INV107301,CUST003004,SVC5826,AGT142,Paid,Plan Change,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,2503.67,-734.85,Circle-North,30,4.79,28,28,2024,9,2,2024,8,29,2024,9,26,Yes,No Anomaly
INV109209,CUST005413,SVC3710,AGT083,Paid,Plan Change,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-West,15,17.85,31,31,2023,11,28,2023,11,25,2023,12,26,Yes,Billing Error
INV108728,CUST000746,SVC2415,AGT054,Paid,Plan Change,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0.0,Circle-South,25,5.69,30,44,2025,3,28,2025,3,26,2025,4,25,Yes,No Anomaly
INV100502,CUST000988,SVC4714,AGT003,Pending,Recharge,Credit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0.0,1768.82,Circle-North,30,26.51,28,28,2024,11,5,2024,11,1,2024,11,29,Yes,No Anomaly
INV105394,CUST000232,SVC4893,AGT049,Pending,Renewal,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,0.0,824.82,Rural-Zone,15,1.11,28,28,2023,12,24,2023,12,20,2024,1,17,Yes,No Anomaly
INV100444,CUST006681,SVC5530,AGT058,Pending,Bill Payment,Debit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-South,50,16.51,31,31,2024,5,27,2024,5,24,2024,6,24,Yes,No Anomaly
INV108173,CUST007174,SVC5271,AGT104,Partial,Plan Change,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,12459.38,2879.44,Metro-B,1000,695.51,28,28,2025,3,25,2025,3,22,2025,4,19,Yes,No Anomaly
INV102256,CUST007691,SVC3559,AGT058,Paid,Recharge,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Metro-B,15,8.34,28,28,2023,10,29,2023,10,24,2023,11,21,Yes,No Anomaly
